ranking_risco_meta,id_municipio,id_municipio_nome,sigla_uf,alunos,historico_2023,meta_2024,taxa_prevista_2024,gap_previsto,alerta_nao_atingir,taxa_observada_2024,gap_observado,nao_atingiu_observado,probabilidade_media_risco
1,4313805,Palmitinho,RS,89,74.978424,80.0,55.29697259472912,24.70302740527088,True,71.91011235955057,8.089887640449433,True,0.4470302740527088
2,4310108,Igrejinha,RS,375,78.173096,80.0,55.35184155690068,24.64815844309932,True,47.73333333333333,32.26666666666667,True,0.4464815844309931
3,4312252,Minas do Leão,RS,85,66.47647,74.31,51.913648341987475,22.396351658012527,True,56.470588235294116,17.839411764705886,True,0.4808635165801252
4,4314068,Passa Sete,RS,16,85.26,80.0,58.10080547870393,21.899194521296067,True,75.0,5.0,True,0.4189919452129607
5,4306973,Erebango,RS,29,71.818275,74.36,52.83254058340001,21.52745941659999,True,44.827586206896555,29.532413793103444,True,0.4716745941659999
6,4321667,Três Cachoeiras,RS,114,85.80061,80.0,58.53796742614892,21.462032573851083,True,53.50877192982456,26.49122807017544,True,0.4146203257385108
7,4322533,Vale do Sol,RS,46,78.22587,80.0,58.57163752957586,21.42836247042414,True,56.52173913043478,23.47826086956522,True,0.4142836247042414
8,4320321,Senador Salgado Filho,RS,24,83.97,80.0,58.5937227087343,21.406277291265702,True,50.0,30.0,True,0.4140627729126571
9,4314464,Pinhal da Serra,RS,17,74.14,75.04,53.89202226078205,21.147977739217957,True,35.29411764705882,39.74588235294119,True,0.4610797773921795
10,4315008,Porto Lucena,RS,32,74.372505,78.78,57.63658576727941,21.143414232720588,True,84.375,-5.594999999999999,False,0.4236341423272059
11,4322608,Venâncio Aires,RS,487,76.28012,78.41,57.684764162457945,20.72523583754205,True,61.19096509240246,17.21903490759754,True,0.4231523583754205
12,4316600,Sananduva,RS,160,73.88244,75.28,55.09551057372457,20.184489426275434,True,53.75,21.53,True,0.4490448942627543
13,4320230,Sede Nova,RS,18,85.29,80.0,60.12317883409193,19.87682116590807,True,38.88888888888889,41.11111111111111,True,0.3987682116590807
14,4304697,Capitão,RS,33,87.05,80.0,60.16522432629296,19.834775673707043,True,57.57575757575758,22.424242424242422,True,0.3983477567370704
