threshold,accuracy,precision,recall,f1,confusion_matrix
0.3,0.6033378326976999,0.6032185038706939,0.9996817775792765,0.7524192904535197,"[[176, 117783], [57, 179063]]"
0.35,0.6125340397672,0.6103853104694635,0.9880527020991514,0.7546027441650252,"[[4991, 112968], [2140, 176980]]"
0.4,0.6217201485126852,0.6196877477018647,0.9645879857079053,0.7545951045240242,"[[11923, 106036], [6343, 172777]]"
0.45,0.6307244874259036,0.6300158830051844,0.9389459580169719,0.7540666080812066,"[[19191, 98768], [10936, 168184]]"
0.5,0.6367801157267932,0.6447477001752054,0.8854734256364448,0.7461757586734946,"[[30568, 87391], [20514, 158606]]"
0.55,0.6319800457117467,0.661643651591445,0.7974039749888343,0.7232077530487883,"[[44917, 73042], [36289, 142831]]"
0.6,0.5596524830095698,0.7193790422207689,0.4421337650736936,0.5476681142983597,"[[87066, 30893], [99925, 79195]]"
0.65,0.5432157776214408,0.7440613371406729,0.36950089325591784,0.4937870937177091,"[[95193, 22766], [112935, 66185]]"
0.7,0.4968543720693822,0.7848385857033051,0.22802032157213042,0.3533742862086866,"[[106762, 11197], [138277, 40843]]"
